identifier,logFC,logCPM,p-Value,FDR
SYT1,1.770621471,-0.486850407,0.005,0.219690747
PLCXD3,1.752531973,-0.107109207,0.005,0.218790221
LOC101928371,1.747319452,0.19719883,0.004,0.210678648
PEG10,1.747262926,3.389838484,0.005,0.218790221
MPZL3,1.746544823,-0.946886209,0.008,0.244562119
ZNF331,1.742223364,3.582892684,0.002,0.191234855
KCNQ1OT1,1.735549211,3.2213127,0.002,0.194174118
LOC388436,1.718972959,1.38563767,0.005,0.218790221
LOC79999,1.718972814,1.38563767,0.005,0.218790221
FAM106A,1.710676211,-0.40379851,0.002,0.194174118
RPS6KA6,1.706545692,-0.641712657,0.006,0.226755812
BCL2L15,1.705888495,-1.096076475,0.008,0.244562119
TBX5,1.70488581,-0.439903701,0.002,0.191234855
EMP1,1.685210926,5.41263419,0.008,0.244562119
PPP2R2B,1.677996221,-0.970165616,0.004,0.210678648
TACR1,1.660737364,-0.541153481,0.007,0.237835159
SLC7A10,1.658254359,0.001298397,0.009,0.250483329
ELOVL6,1.651636479,-0.611610512,0.002,0.202434568
ATP1B3,1.647253044,3.40884312,0.008,0.244562119
SEMA4A,1.634685291,2.042975923,0.002,0.194174118
CEP152,1.62498232,0.457693238,0.005,0.217960803
LINC01296,1.624303781,1.141808594,0.003,0.2032697
NRXN1,1.621352638,0.338116335,0.006,0.225551985
ADGRG2,1.62101118,0.064484497,0.005,0.218790221
